0.6  , 0.51 , 0.387, 0.388
0.6  , 0.49 , 0.376, 0.364
0.612, 0.488, 0.376, 0.385
0.659, 0.517, 0.37 , 0.352
0.676, 0.497, 0.349, 0.378
0.682, 0.475, 0.347, 0.386
0.65 , 0.473, 0.346, 0.344
0.637, 0.456, 0.371, 0.318
0.637, 0.443, 0.354, 0.311
0.63 , 0.435, 0.315, 0.32 
0.599, 0.48 , 0.291, 0.32 
0.573, 0.445, 0.3  , 0.33 
0.6  , 0.4  , 0.3  , 0.32 
0.601, 0.428, 0.308, 0.274
0.588, 0.441, 0.345, 0.295
0.641, 0.463, 0.39 , 0.301
0.649, 0.465, 0.413, 0.325
0.627, 0.478, 0.397, 0.324
0.656, 0.491, 0.375, 0.348
0.64 , 0.468, 0.396, 0.335
0.633, 0.467, 0.352, 0.33 
0.591, 0.462, 0.379, 0.373
0.612, 0.436, 0.44 , 0.331
0.612, 0.434, 0.473, 0.352
0.568, 0.394, 0.47 , 0.342
0.601, 0.434, 0.455, 0.342
0.539, 0.464, 0.435, 0.334
0.523, 0.476, 0.415, 0.352
0.515, 0.504, 0.459, 0.339
0.491, 0.488, 0.491, 0.323
0.478, 0.502, 0.474, 0.353
0.459, 0.453, 0.457, 0.338
0.435, 0.461, 0.485, 0.304
0.425, 0.445, 0.448, 0.302
0.398, 0.417, 0.401, 0.285
0.438, 0.401, 0.404, 0.302
0.446, 0.383, 0.396, 0.273
0.473, 0.425, 0.406, 0.259
0.491, 0.414, 0.381, 0.251
0.46 , 0.404, 0.375, 0.267
0.47 , 0.46 , 0.37 , 0.279
0.454, 0.461, 0.369, 0.275
0.452, 0.459, 0.392, 0.293
0.439, 0.428, 0.412, 0.329
0.455, 0.384, 0.41 , 0.354
0.471, 0.375, 0.394, 0.336
0.423, 0.325, 0.351, 0.294
0.458, 0.334, 0.355, 0.324
0.502, 0.353, 0.35 , 0.322
0.464, 0.368, 0.367, 0.351
0.459, 0.421, 0.341, 0.301
0.496, 0.401, 0.388, 0.295
0.476, 0.391, 0.373, 0.273
0.452, 0.379, 0.383, 0.272
0.448, 0.393, 0.401, 0.289
0.435, 0.368, 0.433, 0.291
0.441, 0.373, 0.443, 0.285
0.418, 0.389, 0.42 , 0.282
0.41 , 0.383, 0.392, 0.255
0.426, 0.384, 0.354, 0.267
0.416, 0.414, 0.379, 0.254
0.353, 0.414, 0.383, 0.26 
0.293, 0.383, 0.425, 0.266
0.288, 0.362, 0.432, 0.275
0.297, 0.363, 0.457, 0.29 
0.25 , 0.333, 0.451, 0.284
0.255, 0.331, 0.425, 0.278
0.281, 0.326, 0.434, 0.261
0.277, 0.319, 0.434, 0.286
0.318, 0.351, 0.474, 0.272
0.306, 0.331, 0.46 , 0.274
0.35 , 0.329, 0.432, 0.251
0.352, 0.318, 0.461, 0.257
0.374, 0.315, 0.514, 0.262
0.405, 0.348, 0.504, 0.256
0.43 , 0.367, 0.513, 0.251
0.426, 0.365, 0.523, 0.279
0.411, 0.377, 0.525, 0.29 
0.413, 0.36 , 0.538, 0.31 
0.394, 0.383, 0.524, 0.282
0.361, 0.391, 0.524, 0.269
0.354, 0.377, 0.535, 0.274
0.353, 0.363, 0.504, 0.307
0.361, 0.317, 0.485, 0.273
0.295, 0.332, 0.47 , 0.26 
0.287, 0.344, 0.46 , 0.32 
0.278, 0.373, 0.46 , 0.351
0.277, 0.355, 0.459, 0.358
0.264, 0.395, 0.47 , 0.338
0.258, 0.389, 0.495, 0.348
0.325, 0.363, 0.524, 0.356
0.29 , 0.354, 0.524, 0.361
0.318, 0.353, 0.542, 0.336
0.329, 0.367, 0.542, 0.302
0.348, 0.33 , 0.586, 0.265
0.348, 0.348, 0.591, 0.304
0.328, 0.258, 0.639, 0.303
0.381, 0.256, 0.661, 0.29 
0.423, 0.312, 0.659, 0.319
0.419, 0.326, 0.615, 0.332
0.406, 0.305, 0.562, 0.356
0.412, 0.303, 0.532, 0.328
0.399, 0.326, 0.531, 0.314
0.398, 0.313, 0.576, 0.303
0.41 , 0.34 , 0.593, 0.316
0.402, 0.333, 0.57 , 0.322
0.408, 0.274, 0.566, 0.316
0.426, 0.262, 0.552, 0.283
0.4  , 0.265, 0.503, 0.284
0.389, 0.286, 0.517, 0.318
0.389, 0.289, 0.505, 0.348
0.387, 0.265, 0.506, 0.329
0.384, 0.256, 0.524, 0.353
0.367, 0.273, 0.512, 0.348
0.323, 0.276, 0.502, 0.358
0.327, 0.301, 0.482, 0.366
0.356, 0.324, 0.447, 0.405
0.346, 0.346, 0.451, 0.456
0.307, 0.341, 0.511, 0.496
0.301, 0.307, 0.523, 0.5  
0.288, 0.297, 0.519, 0.491
0.275, 0.313, 0.525, 0.507
0.288, 0.279, 0.473, 0.464
0.287, 0.296, 0.496, 0.443
0.26 , 0.276, 0.477, 0.451
0.283, 0.285, 0.494, 0.477
0.285, 0.251, 0.493, 0.518
0.285, 0.278, 0.495, 0.479
0.304, 0.316, 0.486, 0.459
0.279, 0.291, 0.485, 0.452
0.257, 0.293, 0.476, 0.442
0.267, 0.335, 0.408, 0.456
0.254, 0.359, 0.444, 0.42 
0.265, 0.371, 0.443, 0.419
0.272, 0.34 , 0.465, 0.386
0.291, 0.34 , 0.503, 0.372
0.25 , 0.307, 0.498, 0.357
0.265, 0.293, 0.462, 0.319
0.268, 0.317, 0.494, 0.325
0.276, 0.319, 0.471, 0.343
0.261, 0.318, 0.465, 0.338
0.269, 0.269, 0.465, 0.359
0.288, 0.255, 0.464, 0.364
0.311, 0.284, 0.439, 0.335
0.291, 0.284, 0.413, 0.345
0.289, 0.292, 0.421, 0.344
0.299, 0.296, 0.457, 0.356
0.264, 0.313, 0.451, 0.366
0.272, 0.36 , 0.455, 0.385
0.282, 0.392, 0.477, 0.39 
0.287, 0.367, 0.491, 0.353
0.308, 0.389, 0.483, 0.367
0.327, 0.366, 0.487, 0.408
